Category,Drink,Description,Price
House Special Feni Cocktails,Goencho Dukor, A refreshing house favourite that you will drink like a pig.,₹200
House Special Feni Cocktails,Feni Margarita, Our take on the classic cocktail with Feni,₹150
House Special Feni Cocktails,Feni Classic," The traditional Feni drink. Feni with lime, soda, salt and juliennes of green chillies",₹90
House Special Feni Cocktails,Bimli Bomb," Fresh Bimli from our yard, juiced in with Feni, orange liqueur, fresh lime and tonic",₹200
House Special Feni Cocktails,Feni Old Fashioned, Smoke infused Feni with a dash of lime and orange liqueur,₹250
House Special Feni Cocktails,Flower Power, A mouthful of flavours with Feni and Mahua blended together,₹250
House Special Feni Cocktails,Honeydew, A unique cocktail with honey mead and feni,₹250
Cocktails with other spirits,Classic Margarita, The classic cocktail with Agave and Orange liqueur,₹200
Cocktails with other spirits,Mahua + Tonic, The tribal spirit of India with a tonic twist,₹200
Cocktails with other spirits,Caipirinha, Sugarcane Spirit blended in crushed ice with mint and lime,₹200
Cocktails with other spirits,Daiquiri, A clear sweetened mix of Cane spirit and lime,₹200
Cocktails with other spirits,Mojito, The popular bubbly favourite made with Sugar cane spirit,₹200
Cocktails with other spirits,Gingerita," A refreshing mix of agave, orange liqueur, fresh orange and lime with dry ginger ale",₹280
Cocktails with other spirits,Moâ mead, Our take on the classic mojito with an infusion of honey mead Beer (Arbor on Tap)Large -550ml,₹300
Cocktails with other spirits,Cucumber & Mint Kolsch,,₹300
Cocktails with other spirits,IPA (Indian Pale Ale),,₹350
Cocktails with other spirits,Pilsner,,₹350
Cocktails with other spirits,Agave Bomb, Honey Meads (Moonshine Meadery),₹400
Cocktails with other spirits,Coffee,,₹180
Cocktails with other spirits,Apple Cyder,,₹180
Cocktails with other spirits,Traditional," Feni(Triple Distilled artisanal Feni, aged for 5 years)",₹180
Cocktails with other spirits,Feni,,₹50
Cocktails with other spirits,Wood aged Feni,,₹90
Cocktails with other spirits,Smoke infused,,₹90
Cocktails with other spirits,Wood aged and Smoke Infused, Whiskey                                             30 ml,₹130
Cocktails with other spirits,Amrut Fusion,,₹250
Cocktails with other spirits,Paul John Bold,,₹250
Cocktails with other spirits,Paul John Nirvana, Wine(Charosa)150 ml    Pint Shiraz...............................................................................₹  200                      ₹  500 Sauvignon Blanc.................................................................₹  200                     ₹  500 Chenin Blanc...................................................................₹  300                      ₹  750 Tempranillo.....................................................................₹  380,₹150
Cocktails with other spirits,Gin(Greater Than),,₹90
Cocktails with other spirits,Rum(Amrut), Agave(DesmondJi),₹90
Cocktails with other spirits,51% Agave,,₹90
Cocktails with other spirits,51% Agave Gold,,₹120
Cocktails with other spirits,100% Agave, Aerated Drinks,₹120
Cocktails with other spirits,Dry Tonic Water,,₹100
Cocktails with other spirits,CucumberTonic Water,,₹100
Cocktails with other spirits,Ginger Ale,,₹100
Cocktails with other spirits,Fresh Lime Soda,,₹50
Cocktails with other spirits,Soda,,₹20
Cocktails with other spirits,Limca,,₹70
Cocktails with other spirits,Coke, CONTACT OPENING HOURS FINDâ US,₹70
